ID: 166, DLC: 4, Data: d0320009
ID: 158, DLC: 8, Data: 000000000000000a
ID: 161, DLC: 8, Data: 000005500108000d
ID: 191, DLC: 7, Data: 010090a1410030
ID: 18E, DLC: 3, Data: 00005c
ID: 133, DLC: 5, Data: 0000000098
ID: 136, DLC: 8, Data: 000200000000001b
ID: 13A, DLC: 8, Data: 0000000000000019
ID: 13F, DLC: 8, Data: 000000050000001f
ID: 164, DLC: 8, Data: 0000c01aa8000031
ID: 17C, DLC: 8, Data: 0000000010000012
ID: 183, DLC: 8, Data: 0000000e0000101c
ID: 39, DLC: 2, Data: 000c
ID: 143, DLC: 4, Data: 6b6b00d1
ID: 95, DLC: 8, Data: 800007f400000008
ID: 166, DLC: 4, Data: d0320018
ID: 158, DLC: 8, Data: 0000000000000019
ID: 161, DLC: 8, Data: 000005500108001c
ID: 191, DLC: 7, Data: 010090a1410003
ID: 164, DLC: 8, Data: 0000c01aa8000004
ID: 133, DLC: 5, Data: 00000000a7
ID: 136, DLC: 8, Data: 000200000000002a
ID: 13A, DLC: 8, Data: 0000000000000028
ID: 13F, DLC: 8, Data: 000000050000002e
ID: 17C, DLC: 8, Data: 0000000010000021
ID: 18E, DLC: 3, Data: 00006b
ID: 1CF, DLC: 6, Data: 80050000003c
ID: 1DC, DLC: 4, Data: 02000039
ID: 320, DLC: 3, Data: 000030
ID: 324, DLC: 8, Data: 7465000000000e38
ID: 183, DLC: 8, Data: 0000000a0000102f
ID: 37C, DLC: 8, Data: fd00fd00097f0038
ID: 143, DLC: 4, Data: 6b6b00e0
ID: 95, DLC: 8, Data: 800007f400000017
ID: 1A4, DLC: 8, Data: 0000000800000010
ID: 1AA, DLC: 8, Data: 7fff000000006810
ID: 1B0, DLC: 7, Data: 000f0000000157
ID: 1D0, DLC: 8, Data: 000000000000000a
ID: 39, DLC: 2, Data: 001b
ID: 166, DLC: 4, Data: d0320027
ID: 158, DLC: 8, Data: 0000000000000028
ID: 161, DLC: 8, Data: 000005500108002b
ID: 191, DLC: 7, Data: 010090a1410012
ID: 164, DLC: 8, Data: 0000c01aa8000013
ID: 133, DLC: 5, Data: 00000000b6
ID: 136, DLC: 8, Data: 0002000000000039
ID: 13A, DLC: 8, Data: 0000000000000037
ID: 13F, DLC: 8, Data: 000000050000003d
ID: 17C, DLC: 8, Data: 0000000010000030
ID: 18E, DLC: 3, Data: 00007a
ID: 294, DLC: 8, Data: 040b0002cf5a000e
ID: 21E, DLC: 7, Data: 03e83745220601
ID: 183, DLC: 8, Data: 0000000f00001039
ID: 143, DLC: 4, Data: 6b6b00ff
ID: 95, DLC: 8, Data: 800007f400000026
ID: 166, DLC: 4, Data: d0320036
ID: 158, DLC: 8, Data: 0000000000000037
ID: 161, DLC: 8, Data: 000005500108003a
ID: 164, DLC: 8, Data: 0000c01aa8000022
ID: 191, DLC: 7, Data: 010090a1410021
ID: 133, DLC: 5, Data: 0000000089
ID: 136, DLC: 8, Data: 000200000000000c
ID: 13A, DLC: 8, Data: 000000000000000a
ID: 13F, DLC: 8, Data: 0000000500000000
ID: 17C, DLC: 8, Data: 0000000010000003
ID: 18E, DLC: 3, Data: 00004d
ID: 1CF, DLC: 6, Data: 80050000000f
ID: 1DC, DLC: 4, Data: 0200000c
ID: 183, DLC: 8, Data: 0000000b00001000
ID: 143, DLC: 4, Data: 6b6b00c2
ID: 95, DLC: 8, Data: 800007f400000035
ID: 1A4, DLC: 8, Data: 000000080000002f
ID: 1AA, DLC: 8, Data: 7fff00000000682f
ID: 1B0, DLC: 7, Data: 000f0000000166
ID: 1D0, DLC: 8, Data: 000000000000000a
ID: 166, DLC: 4, Data: d0320009
ID: 158, DLC: 8, Data: 000000000000000a
ID: 161, DLC: 8, Data: 000005500108000d
ID: 191, DLC: 7, Data: 010090a1410030
ID: 164, DLC: 8, Data: 0000c01aa8000031
ID: 133, DLC: 5, Data: 0000000098
ID: 136, DLC: 8, Data: 000200000000001b
ID: 39, DLC: 2, Data: 002a
